name,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,price,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,total_amenities
Superfast Wi-Fi.  Clean & quiet home by the park,2787,f,Kensington,Brooklyn,40.64529,-73.97238,Private room in condo,Private room,2,1.0,285.0,730,347,9,6,0.08,761
Skylit Midtown Manhattan Spacious Studio,2845,f,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1,0.0,240.0,1125,312,49,3,0.26,553
Spacious Family Friendly Duplex w/ Patio + Yard,7378,f,Sunset Park,Brooklyn,40.66265,-73.99454,Entire townhouse,Entire home/apt,4,2.0,215.0,730,80,4,1,0.03,816
Only 2 stops to Manhattan studio,15991,t,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,2.0,97.0,120,219,196,1,1.0,384
UES Beautiful Blue Room,16800,f,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1,2.0,63.0,120,254,253,1,1.33,364
"Perfect for Your Parents, With Garden & Patio",17571,t,Fort Greene,Brooklyn,40.69194,-73.97389,Private room in guest suite,Private room,2,1.0,246.0,1125,4,413,2,2.2,1017
Convenient 3BR w/6 beds!!,204539,f,Ridgewood,Queens,40.70271,-73.8993,Entire rental unit,Entire home/apt,9,3.0,223.0,730,365,4,10,0.03,371
SpaHa Studio Monthly Rental,292204,t,East Harlem,Manhattan,40.792667388916016,-73.946533203125,Entire rental unit,Entire home/apt,2,1.0,125.0,60,227,196,4,1.14,661
"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,t,East Village,Manhattan,40.72598,-73.97978,Entire rental unit,Entire home/apt,6,1.0,150.0,1125,362,168,6,0.95,708
Great room in great location,297176,f,Harlem,Manhattan,40.80371,-73.95635,Private room in rental unit,Private room,1,1.0,77.0,480,180,2,2,0.02,303
Sunny Williamsburg Loft with Sauna,21207,t,Williamsburg,Brooklyn,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2,0.0,160.0,120,0,13,1,0.07,1156
Large  Loft Style  Studio  Space,757166,f,Bedford-Stuyvesant,Brooklyn,40.68096,-73.94062,Entire loft,Entire home/apt,4,1.0,63.0,1125,301,92,1,0.54,466
Hancock Town House!-Stuyvesant Mews,758441,f,Bedford-Stuyvesant,Brooklyn,40.68511,-73.91927,Private room in home,Private room,2,1.0,162.0,365,365,27,4,0.16,123
Chelsea living Private room,759883,f,Chelsea,Manhattan,40.74389,-74.00068,Private room in rental unit,Private room,1,1.0,173.0,30,364,26,1,0.28,474
Nice Manhattan Apt Near Central Park and Subway,791287,t,Upper West Side,Manhattan,40.79864,-73.96209,Entire rental unit,Entire home/apt,6,2.0,310.0,365,240,190,1,1.12,624
"Brooklyn- sunny, quiet, homelike-Park Slope South",720558,t,Windsor Terrace,Brooklyn,40.65891,-73.98556,Entire guest suite,Entire home/apt,2,1.0,175.0,68,104,124,1,0.74,586
Very close to Downtown Awesome Private Apartment,807642,f,Gravesend,Brooklyn,40.60602,-73.97076,Entire rental unit,Entire home/apt,4,1.0,231.0,30,289,0,2,0.0,209
"Maison des Sirenes1,bohemian, luminous apartment",25183,f,Bedford-Stuyvesant,Brooklyn,40.68455584344908,-73.93963415175676,Entire loft,Entire home/apt,5,1.0,170.0,1125,214,190,2,0.99,958
Midtown Pied-a-terre,30193,f,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire rental unit,Entire home/apt,2,0.0,175.0,120,97,58,1,0.3,846
Radiant Oasis  B&B Style room,35935,t,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room in rental unit,Private room,2,1.0,90.0,730,229,82,6,0.44,704
Beautiful Landmarked Duplex,306739,f,Greenpoint,Brooklyn,40.72967,-73.95352,Entire home,Entire home/apt,4,1.0,350.0,90,83,172,2,0.99,425
LL3,295128,f,Clason Point,Bronx,40.81161,-73.85499,Private room in home,Private room,3,2.0,91.0,1125,0,0,6,0.0,707
Dominique's mini guest suite w/private bath* Metro,310670,t,Eastchester,Bronx,40.881,-73.83511,Private room in home,Private room,2,1.0,120.0,120,358,57,8,0.39,859
cozy bedroom in lovely garden apt,314256,f,Crown Heights,Brooklyn,40.67634,-73.95143,Private room in rental unit,Private room,2,1.0,71.0,182,110,46,1,0.26,94
Crown Heights Garden Apt.,314582,t,Crown Heights,Brooklyn,40.67579,-73.95072,Private room in home,Private room,2,1.0,65.0,365,305,257,2,1.49,179
CHARMING CARROLL GARDENS APT.,322884,f,Carroll Gardens,Brooklyn,40.68028,-73.99328,Entire rental unit,Entire home/apt,4,2.0,171.0,90,244,67,1,0.41,437
East Village Loft with Piano & Patio,324460,f,East Village,Manhattan,40.72547,-73.98619,Entire loft,Entire home/apt,2,0.0,349.0,90,143,171,1,1.38,916
ENJOY Downtown NYC!,46978,t,East Village,Manhattan,40.72296,-73.98383,Private room in rental unit,Private room,2,1.0,72.0,1125,76,317,2,1.66,459
"1 Stop to Midtown! Private Bedroom, Landmark House",50124,f,Long Island City,Queens,40.74757,-73.94571,Private room in townhouse,Private room,3,1.0,225.0,14,183,445,1,2.43,677
"Fort Greene, Brooklyn: Front Bedroom",67778,t,Fort Greene,Brooklyn,40.68877615321917,-73.97762359693657,Private room in rental unit,Private room,2,1.0,105.0,28,282,292,2,2.16,931
Luxury 2Bed/2.5Bath Central Park View,836168,f,Upper West Side,Manhattan,40.7751,-73.98595,Entire condo,Entire home/apt,9,2.0,2500.0,1125,364,25,10,0.15,494
Cosy Sunny 1brm in Prospect Heights,842125,f,Crown Heights,Brooklyn,40.67545,-73.96096,Entire rental unit,Entire home/apt,1,1.0,101.0,30,113,31,1,0.18,234
Spacious Private Jr. One Bedroom Near NYU Hospital,849492,f,Kips Bay,Manhattan,40.74045,-73.9749,Entire condo,Entire home/apt,2,1.0,150.0,1125,167,130,1,0.78,576
High-end doorman bldg in the LES,21475,f,East Village,Manhattan,40.72113,-73.98213,Private room in condo,Private room,1,1.0,175.0,180,83,128,1,0.76,399
Cozy entire studio Apartment,39260,t,East Harlem,Manhattan,40.78959,-73.94705,Entire condo,Entire home/apt,3,1.0,143.0,1125,325,127,1,0.76,321
Charming Brownstone 3 - Near PRATT,50148,f,Bedford-Stuyvesant,Brooklyn,40.67946,-73.95417,Entire rental unit,Entire home/apt,2,1.0,153.0,365,311,81,1,0.43,306
Greenpoint Place...Has It All!,56246,f,Greenpoint,Brooklyn,40.73535,-73.95584,Entire rental unit,Entire home/apt,2,1.0,115.0,1125,213,179,1,0.95,932
"Lovely, Modern, Garden Apartment",329436,t,Gowanus,Brooklyn,40.68088,-73.99102,Entire rental unit,Entire home/apt,2,1.0,209.0,270,274,248,2,1.56,959
Cozy Garden Apartment  in Williamsburg,330347,t,Williamsburg,Brooklyn,40.71516,-73.96448,Entire townhouse,Entire home/apt,4,1.0,207.0,89,46,87,1,0.5,716
Prewar Penthouse w Private Terrace,342054,f,Upper West Side,Manhattan,40.78846,-73.97459,Entire rental unit,Entire home/apt,2,1.0,189.0,200,195,38,1,0.23,577
Top floor light filled loft on the Bowery,281229,f,Nolita,Manhattan,40.72,-73.99487,Entire loft,Entire home/apt,7,3.0,657.0,730,131,248,1,1.43,1278
"Nice renovated apt, prime location!",352168,t,Upper West Side,Manhattan,40.77845,-73.98295,Entire rental unit,Entire home/apt,2,1.0,128.0,120,236,70,1,0.44,438
One Bedroom Mini studio - Free WIFI,265109,f,Astoria,Queens,40.77507,-73.93367,Private room in rental unit,Private room,3,1.0,118.0,1125,365,268,1,1.57,884
* Lovely Nolita 1Bdrm w Elevator and 24hr Doorman*,60049,t,Lower East Side,Manhattan,40.721359,-73.993668,Entire condo,Entire home/apt,3,1.0,230.0,180,255,41,1,0.29,1243
"Very, very cozy place",60252,f,Williamsburg,Brooklyn,40.71211,-73.96397,Private room in rental unit,Private room,1,1.0,98.0,40,203,62,1,0.34,227
"Sunny, Modern room in East Village w City Views",64442,t,East Village,Manhattan,40.72372723229208,-73.97625850509617,Private room in condo,Private room,1,1.0,198.0,40,208,642,2,4.46,619
Charming Room in Amazing East Village Apt. (B),4396,t,East Village,Manhattan,40.72281,-73.98501,Private room in rental unit,Private room,1,1.0,169.0,31,18,263,2,1.68,739
Bright Cozy Chinatown Studio Apt.,401696,f,Chinatown,Manhattan,40.71624,-73.994,Entire rental unit,Entire home/apt,2,0.0,120.0,1125,288,423,1,2.43,914
Modern Bed Stuy loft + rooftop garden,401921,f,Bedford-Stuyvesant,Brooklyn,40.695588790857855,-73.95461923691613,Private room in loft,Private room,2,1.0,221.0,150,364,20,1,0.11,1273
Superior @ Box House,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Hotel room,2,1.0,238.0,365,164,70,29,0.4,410
3 Bdr/2ba Brownstone w/Garden. Stunning!,425506,f,Clinton Hill,Brooklyn,40.68337,-73.96253,Entire townhouse,Entire home/apt,5,3.0,355.0,59,65,11,1,0.09,1079
Cozy room in East Village with AC,434987,f,East Village,Manhattan,40.7226132,-73.9854593,Private room in rental unit,Private room,2,1.0,63.0,30,265,233,1,1.35,741
Duplex w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Hotel room,4,1.0,380.0,365,167,10,29,0.06,419
Loft w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Private room,4,1.0,428.0,365,164,10,29,0.06,436
Loft w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Private room,4,1.0,428.0,365,167,2,29,0.01,436
"Charming Artist's Flat, East Village",449787,t,East Village,Manhattan,40.72408,-73.98154,Entire rental unit,Entire home/apt,2,1.0,151.0,180,316,286,1,1.66,721
Hell's Kitchen Funky 80s Hideaway!,179020,t,Hell's Kitchen,Manhattan,40.76263,-73.99401,Private room in rental unit,Private room,2,1.0,179.0,30,78,184,1,1.14,831
Beautiful Grdn. Apt. in Park Slope,874471,f,Park Slope,Brooklyn,40.66836,-73.98166,Entire rental unit,Entire home/apt,2,1.0,130.0,31,346,313,1,1.94,596
Presence Guest Room - Chelsea NYC,927028,t,Chelsea,Manhattan,40.74697296939259,-74.00178397023312,Private room in townhouse,Private room,2,1.0,129.0,90,239,158,1,0.96,766
SpaHa Loft: Enormous and Bright,65837,f,East Harlem,Manhattan,40.8019,-73.93762,Entire loft,Entire home/apt,8,4.0,300.0,365,164,291,1,1.55,402
Lovely EV Artist's Home,66035,f,East Village,Manhattan,40.72289,-73.98028,Entire rental unit,Entire home/apt,2,1.0,260.0,90,98,54,1,0.29,408
Manhattan Room,69942,f,Upper East Side,Manhattan,40.76967,-73.94831,Private room in rental unit,Private room,2,2.0,70.0,30,318,147,1,0.88,101
Beautiful Meatpacking District Loft,71876,t,Chelsea,Manhattan,40.74261,-74.00353,Private room in loft,Private room,3,1.0,150.0,60,277,250,1,1.44,755
One bedroom Duplex Private Terrace West Village,73164,f,West Village,Manhattan,40.73917,-74.00207,Entire rental unit,Entire home/apt,4,1.0,256.0,3000,276,68,1,0.37,486
"Cheerful, comfortable room",940724,f,Washington Heights,Manhattan,40.83338,-73.94326,Private room in rental unit,Private room,2,1.0,86.0,365,365,229,1,1.36,373
Covid Clean since '11!,949221,f,Flatbush,Brooklyn,40.65468,-73.95721,Private room in rental unit,Private room,1,1.0,60.0,120,88,90,1,0.57,814
"Sunny, Large, Park Slope Bedroom",611716,f,Park Slope,Brooklyn,40.6767158,-73.9818207,Private room in rental unit,Private room,2,1.0,105.0,29,167,230,1,1.37,535
Solo Travelers Private Garden XL Studio,241559,t,Crown Heights,Brooklyn,40.67635,-73.96108,Entire townhouse,Entire home/apt,2,0.0,125.0,300,320,133,2,0.8,1134
Serene Park Slope Garden Apartment,988350,f,Park Slope,Brooklyn,40.67466,-73.97853,Entire rental unit,Entire home/apt,4,1.0,190.0,30,77,106,1,0.77,638
BEAUTIFUL 2 BEDROOM APARTMENT,451545,f,Bedford-Stuyvesant,Brooklyn,40.68433,-73.94469,Entire townhouse,Entire home/apt,5,2.0,174.0,1125,327,83,1,0.72,446
Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,f,Bushwick,Brooklyn,40.68769,-73.91788,Entire rental unit,Entire home/apt,3,1.0,56.0,60,278,251,1,1.45,380
NY Mag & Budget Travel love us!,260682,f,Downtown Brooklyn,Brooklyn,40.69132,-73.98573,Private room in bed and breakfast,Private room,1,1.0,166.0,31,335,5,1,0.03,76
Superior @ Box House,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Hotel room,2,1.0,238.0,365,164,36,29,0.22,410
The Brooklyn Waverly,116599,f,Clinton Hill,Brooklyn,40.68513,-73.96648,Entire rental unit,Entire home/apt,10,1.0,800.0,365,358,0,3,0.0,246
"Sunny, Authentic, Artsy, Downtown NYC East Village",496426,f,Lower East Side,Manhattan,40.71974,-73.98393,Entire rental unit,Entire home/apt,2,2.0,386.0,365,173,81,1,0.47,627
"Maison de sirenes 2, bohemian, ecclectic apartment",25183,f,Bedford-Stuyvesant,Brooklyn,40.684569430603325,-73.93840021354636,Entire loft,Entire home/apt,5,2.0,165.0,730,235,173,2,1.01,743
"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,t,Crown Heights,Brooklyn,40.6736,-73.9551,Entire rental unit,Entire home/apt,2,1.0,150.0,90,95,167,1,0.97,348
"The Brooklyn Waverly, One Bedroom",116599,f,Clinton Hill,Brooklyn,40.68513,-73.96648,Private room in condo,Private room,5,1.0,171.0,365,364,11,3,0.06,557
"Sunny, Spacious Top Floor Haven",73469,f,Flatbush,Brooklyn,40.65437,-73.96278,Private room in rental unit,Private room,4,1.0,94.0,60,88,16,1,0.09,524
2 bedroom Williamsburg Apt - Bedford L stop,74857,f,Williamsburg,Brooklyn,40.71802,-73.95724,Entire rental unit,Entire home/apt,2,1.0,95.0,90,260,59,1,0.32,157
Light-filled classic Central Park,42032,f,Upper West Side,Manhattan,40.79936,-73.96155,Private room in rental unit,Private room,2,1.0,84.0,365,198,80,1,0.43,166
St. James Place 1.5-2bdrm 1block to PRATT & Gtrain,51038,f,Clinton Hill,Brooklyn,40.687,-73.96149,Entire home,Entire home/apt,8,2.0,398.0,365,37,115,2,0.69,1014
Ideal Brooklyn Brownstone Apartment,1010242,f,Bedford-Stuyvesant,Brooklyn,40.68339,-73.94034,Entire rental unit,Entire home/apt,2,1.0,185.0,120,178,158,1,0.94,494
Bright Modern Charming Housebarge,1018472,f,Sheepshead Bay,Brooklyn,40.5847,-73.94088,Private room in houseboat,Private room,4,1.0,65.0,365,87,125,2,0.75,1352
"Subway, City View, Elevator, Large Private Room",1031148,f,Sunnyside,Queens,40.73933410644531,-73.9248046875,Private room in condo,Private room,2,1.0,68.0,360,291,312,1,1.93,1057
Charming Greenwich Village share,666271,f,West Village,Manhattan,40.73814,-74.00811,Private room in rental unit,Private room,1,2.0,98.0,90,311,13,1,0.11,474
Master Bedroom - Unbelievably RARE Penthouse Oasis,800223,t,Chinatown,Manhattan,40.71681594848633,-73.98969268798828,Private room in rental unit,Private room,2,1.0,220.0,1125,262,87,1,0.71,1481
Spacious & Sunny Safe Haven,17571,t,Fort Greene,Brooklyn,40.69062,-73.97354,Private room in home,Private room,2,1.0,183.0,60,118,155,2,0.93,856
Groovy NYC Chelsea Pad,520279,f,Chelsea,Manhattan,40.75077,-73.99657,Entire rental unit,Entire home/apt,2,1.0,150.0,60,168,18,1,0.11,396
"MANHATTAN Cozy, Neat, Nice, Bright ROOM",523218,f,Washington Heights,Manhattan,40.85433,-73.9324,Private room in rental unit,Private room,2,1.0,62.0,40,173,150,1,0.87,633
Large Modern Park Slope 1BR with Balcony,526805,t,Gowanus,Brooklyn,40.66952,-73.99201,Entire condo,Entire home/apt,3,1.0,150.0,90,65,125,1,0.73,698
2 BR w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73778,-73.95366,Room in boutique hotel,Private room,6,2.0,589.0,365,0,8,29,0.05,441
Clean&Serene in Scenic Fort Greene,220001,f,Fort Greene,Brooklyn,40.693047,-73.971985,Entire serviced apartment,Entire home/apt,3,2.0,260.0,31,167,285,1,1.66,782
surf/stay regular,547386,f,Rockaway Beach,Queens,40.58603,-73.8145,Private room in rental unit,Private room,1,1.0,114.0,90,90,16,1,0.09,779
Bright Room With A Great River View,551055,t,Harlem,Manhattan,40.82772,-73.95284,Private room in rental unit,Private room,1,1.0,89.0,45,173,474,1,2.76,930
COZY QUIET monthly room 4 DOOGLERS!,83257,f,Chelsea,Manhattan,40.74187,-74.00223,Private room in rental unit,Private room,2,1.0,85.0,1125,305,36,2,0.2,436
@HouseOnHenrySt Private 1 bedroom with shared use,11481,f,Carroll Gardens,Brooklyn,40.67747,-74.00146,Private room in rental unit,Private room,2,1.0,196.0,60,365,318,4,1.73,456
Upper Upper West Side Garden Apartment Townhouse,92411,t,Harlem,Manhattan,40.82825,-73.95138,Entire townhouse,Entire home/apt,2,1.0,200.0,1125,358,215,1,1.16,907
Tree lined block modern apartment,552679,t,Bedford-Stuyvesant,Brooklyn,40.68647,-73.95862,Entire rental unit,Entire home/apt,4,2.0,175.0,365,46,124,1,0.72,868
Sunny Top Floor Fort Greene Two Bedroom,553964,f,Clinton Hill,Brooklyn,40.68615,-73.96769,Entire condo,Entire home/apt,2,2.0,176.0,70,127,12,1,0.07,189
Sweet Historic Greenpoint Duplex,306739,f,Greenpoint,Brooklyn,40.72741,-73.95466,Entire home,Entire home/apt,3,1.0,175.0,90,142,353,2,2.07,400
ALL ABOUT A VERY COMFORTABLE ROOM..,181376,f,Fort Greene,Brooklyn,40.69132,-73.97306,Private room in home,Private room,2,1.0,95.0,30,365,178,2,1.04,137
Brooklyn- Crown Heights Garden Apt.,314582,t,Crown Heights,Brooklyn,40.67582,-73.9518,Private room in rental unit,Private room,2,1.0,60.0,730,318,276,2,1.62,441
Sun-Drenched Hamilton Hts Jewel,567187,f,Harlem,Manhattan,40.82402,-73.95263,Private room in rental unit,Private room,1,1.0,57.0,365,256,34,1,0.2,532
1 BDRM Apt-Weekend Sublease,585166,f,Astoria,Queens,40.76406,-73.92266,Entire rental unit,Entire home/apt,2,1.0,110.0,30,49,41,1,0.25,412
Beautiful Harlem Studio Apartment - private access,497672,t,Harlem,Manhattan,40.80384,-73.95123,Entire rental unit,Entire home/apt,2,0.0,92.0,730,195,184,1,1.08,499
Style in Stuyvesant Heights,2248897,t,Bedford-Stuyvesant,Brooklyn,40.68462,-73.92895,Entire rental unit,Entire home/apt,2,1.0,100.0,100,231,95,1,0.57,718
Long term fully furnished apartment.,1121193,f,Fort Hamilton,Brooklyn,40.61933,-74.03208,Entire condo,Entire home/apt,2,1.0,80.0,1125,288,12,1,0.07,668
Your Haven in the Upper West Side,1129218,t,Harlem,Manhattan,40.80592,-73.95172,Private room in rental unit,Private room,1,1.0,61.0,1125,61,33,1,0.26,512
"Wonderful Studio In Brooklyn, NY!!!",447754,f,Bensonhurst,Brooklyn,40.61943,-73.99232,Entire rental unit,Entire home/apt,2,1.0,106.0,365,137,38,1,0.23,299
BEST DEAL IN CHELSEA 1 bdrm NYC,1153993,f,Chelsea,Manhattan,40.7401,-74.00019,Entire rental unit,Entire home/apt,2,1.0,159.0,31,81,38,1,0.23,128
Lovely Apartment,1164642,f,Prospect Heights,Brooklyn,40.67319,-73.96804,Entire rental unit,Entire home/apt,2,1.0,150.0,60,363,19,1,0.11,478
Charming Loft Studio with Patio,1158300,f,Williamsburg,Brooklyn,40.71085,-73.96672,Entire rental unit,Entire home/apt,2,1.0,180.0,365,331,11,1,0.07,611
Cozy multi-leveled apartment!,1177947,t,Shore Acres,Staten Island,40.61019,-74.06757,Entire rental unit,Entire home/apt,3,1.0,87.0,1125,199,101,1,0.6,668
Great studio apt near Central Park,959931,t,Upper West Side,Manhattan,40.78764,-73.97274,Entire rental unit,Entire home/apt,2,1.0,150.0,365,51,111,1,0.66,290
Beautiful 3 bedroom & 3 bathroom Duplex Apartment,97797,f,Park Slope,Brooklyn,40.67115,-73.98026,Entire rental unit,Entire home/apt,5,3.0,200.0,180,351,93,1,0.51,782
Park Slope Green Guest House,42273,f,South Slope,Brooklyn,40.6686,-73.98723,Entire rental unit,Entire home/apt,2,1.0,81.0,365,189,478,3,2.61,580
East Village Sanctuary,120223,f,East Village,Manhattan,40.72421,-73.98509,Entire rental unit,Entire home/apt,3,0.0,100.0,365,0,25,1,0.14,95
Authentic New York City Living,622855,t,Bedford-Stuyvesant,Brooklyn,40.68595,-73.92923,Entire guest suite,Entire home/apt,2,1.0,99.0,1125,319,94,2,0.66,663
City Room - Street View Apt,256161,f,Harlem,Manhattan,40.81127,-73.94561,Entire rental unit,Entire home/apt,5,1.0,83.0,90,64,131,4,0.77,422
Garden apartment close to Manhattan,663879,t,Fort Greene,Brooklyn,40.68646,-73.97548,Entire rental unit,Entire home/apt,3,1.0,156.0,365,269,136,1,0.82,291
Historical space with exceptional light & art,663384,f,Park Slope,Brooklyn,40.67497,-73.97796,Private room in townhouse,Private room,4,2.0,266.0,60,25,48,1,0.31,559
Truly Amazing Oasis In Williamsburg,622866,f,Williamsburg,Brooklyn,40.71347,-73.96035,Entire rental unit,Entire home/apt,4,0.0,280.0,180,320,193,1,1.14,642
Architect's Brownstone,687361,f,Park Slope,Brooklyn,40.67487,-73.97637,Private room in townhouse,Private room,2,3.0,855.0,1125,365,41,2,0.26,58
"Your Haven Awaits At ""Emma's Place""",1191142,f,Bedford-Stuyvesant,Brooklyn,40.68563832502508,-73.92470229417086,Private room in rental unit,Private room,2,1.0,160.0,730,364,92,1,0.55,871
Monthly Apartment Rental,292204,t,East Harlem,Manhattan,40.79147,-73.94629,Entire rental unit,Entire home/apt,2,1.0,127.0,60,168,126,4,0.75,648
"Lovely pied-à-terre, in an historic building",1217241,t,Bedford-Stuyvesant,Brooklyn,40.68518847176618,-73.94268839549034,Private room in townhouse,Private room,2,1.0,108.0,31,135,561,1,3.37,386
rooms for rent in Queens with piano,1012895,f,Ridgewood,Queens,40.70132,-73.90883,Private room in rental unit,Private room,2,1.0,83.0,32,365,24,1,0.16,276
HUGE Sunny Duplex Loft with Garden,1234405,f,South Slope,Brooklyn,40.66386,-73.98519,Entire loft,Entire home/apt,6,3.0,288.0,1125,219,39,1,0.24,641
"Comfortable, Sunny Room",127608,t,Clinton Hill,Brooklyn,40.68292,-73.96381,Private room in condo,Private room,2,1.0,143.0,60,103,470,1,2.57,1017
Entire apartment _Most central location!,117287,f,Hell's Kitchen,Manhattan,40.7672,-73.98464,Entire condo,Entire home/apt,2,1.0,250.0,360,314,75,4,0.41,408
Garage Studio - Unique Designer Loft,716064,f,Williamsburg,Brooklyn,40.71345,-73.94289,Entire place,Entire home/apt,6,3.0,320.0,90,352,114,1,0.73,1263
Best City Area Columbia U Upper West Side C Park,718349,f,Upper West Side,Manhattan,40.79999,-73.96338,Entire rental unit,Entire home/apt,3,2.0,121.0,180,310,311,2,1.94,358
Colorful 2+ Bedroom Apt. on NYC's Lower East Side,726333,t,Lower East Side,Manhattan,40.7203,-73.98424,Private room in rental unit,Private room,2,2.0,425.0,1125,252,88,1,0.52,483
Astoria/LIC  Private Home located near train,722320,t,Astoria,Queens,40.7573,-73.91488,Entire home,Entire home/apt,3,2.0,182.0,29,329,539,1,3.21,778
Cozy private room and bathroom in a Brownstone,732535,t,Harlem,Manhattan,40.80493,-73.94999,Private room in guest suite,Private room,3,1.0,209.0,25,329,387,2,2.32,723
Loft Suite,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,352.0,365,167,100,29,0.62,500
Stylish Studio with exclusive Terrace,1236070,t,Midtown,Manhattan,40.75408,-73.97071,Entire condo,Entire home/apt,2,1.0,142.0,200,124,161,1,0.97,810
"LES private 1 bd apt, walk to *everthing*",1236817,t,Lower East Side,Manhattan,40.72113,-73.98442,Entire rental unit,Entire home/apt,2,1.0,158.0,90,202,121,1,0.73,557
Astoria Garden Suite,1256874,f,Ditmars Steinway,Queens,40.77539,-73.91709,Entire guesthouse,Entire home/apt,1,1.0,250.0,120,358,57,1,0.35,419
Nice Bedroom near Manhattan for 2 pers,1260921,f,Kingsbridge,Bronx,40.8666,-73.90061,Private room in rental unit,Private room,2,2.0,43.0,30,199,121,3,0.8,441
Room with En Suite Bathroom & Deck,137814,f,Clinton Hill,Brooklyn,40.68818,-73.96383,Private room in rental unit,Private room,2,1.0,120.0,365,258,609,2,3.35,579
Loft Suite,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,352.0,180,162,49,29,0.3,549
Loft Suite,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,352.0,365,167,43,29,0.27,464
Loft Suite,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,352.0,365,167,49,29,0.3,519
Loft Suite,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,352.0,180,167,73,29,0.44,496
Duplex w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Private room,4,1.0,380.0,365,156,12,29,0.08,436
Loft w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Private room,4,1.0,428.0,365,165,9,29,0.05,474
1 Bedroom Apartment with Private Terrace,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Private room,4,1.0,319.0,360,0,14,29,0.11,384
Superior @ Box House,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Hotel room,2,1.0,238.0,1125,165,33,29,0.21,398
2 BR Duplex @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Private room,6,2.0,589.0,365,0,5,29,0.03,416
Cozy Modern 2 Bedroom Apartment 20 min from City,47070269,f,Bedford-Stuyvesant,Brooklyn,40.69101,-73.95018,Entire guest suite,Entire home/apt,2,2.0,214.0,1125,271,298,1,1.8,746
Retreat in Williamsburg,143027,t,Williamsburg,Brooklyn,40.71512,-73.95899,Entire rental unit,Entire home/apt,2,1.0,195.0,90,221,299,1,1.64,395
Luxury Brownstone in Boerum Hill,165789,f,Boerum Hill,Brooklyn,40.68442,-73.98068,Private room in home,Private room,2,5.0,769.0,60,365,43,1,0.27,1400
Spectacular West Harlem Garden Apt,166532,t,Harlem,Manhattan,40.8180576,-73.9466707,Entire home,Entire home/apt,2,1.0,212.0,45,79,255,1,1.41,1026
“Work-from-home” from OUR home.,168525,t,Williamsburg,Brooklyn,40.71065139770508,-73.95087432861328,Private room in rental unit,Private room,2,1.0,147.0,45,53,282,2,1.56,456
Stunning NYC Views! Free Gym! Doorman! Terrace!,506779,t,Nolita,Manhattan,40.72032,-73.99462,Entire condo,Entire home/apt,4,2.0,495.0,365,312,26,2,0.16,521
Tribeca Artist Loft 1000 sq/feet,1366070,t,Tribeca,Manhattan,40.71704,-74.00908,Entire loft,Entire home/apt,4,1.0,176.0,70,364,35,1,0.21,1033
Loft Suite,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,352.0,300,167,36,29,0.22,580
"Bushwick, private bedroom private bathroom lux",1304390,f,Bushwick,Brooklyn,40.69913,-73.93107,Private room in rental unit,Private room,2,1.0,95.0,90,364,41,1,0.26,880
